Solution Type,lambda,f1,f2,f3,Index in Pareto Front
Pareto Front Solution 206,0.04592918903367293,0.8356889233499286,0.011253366818878773,0.3202506962528497,206
Pareto Front Solution 207,0.5835803281035853,0.9934946074732615,5.558118680031459e-05,0.012856899014808437,207
Pareto Front Solution 208,0.6717696765302996,0.9955392562806101,3.4961198233625396e-05,0.008816931106261885,208
Pareto Front Solution 209,0.11571984676158031,0.9337846364915661,0.0019805752735382464,0.1303547641457456,209
Pareto Front Solution 210,0.05294591059729028,0.855742844969451,0.008686471480083011,0.28185982353869693,210
Pareto Front Solution 211,0.759845859382465,0.997112335571164,2.1066064647029508e-05,0.005708118211307684,211
Pareto Front Solution 212,0.363234299876545,0.9841367238522236,0.00018714394517874858,0.03133502179619245,212
Pareto Front Solution 213,0.8864691550891021,0.9988308624086455,7.837659833013502e-06,0.002311270710932504,213
Pareto Front Solution 214,0.47694130988380123,0.9900282989817613,9.717436653050688e-05,0.01970380189284931,214
Pareto Front Solution 215,0.9171675808301539,0.9991766294599835,5.421848795331537e-06,0.0016277522259032133,215
Pareto Front Solution 216,0.7990177852349064,0.9977016073613546,1.6300840221715347e-05,0.004543430264598981,216
Pareto Front Solution 217,0.5426465576294854,0.9923229043775231,6.870511723398656e-05,0.015171628152625363,217
Pareto Front Solution 218,0.8720086922712059,0.9986596282622268,9.064494328947491e-06,0.002649760319137712,218
Pareto Front Solution 219,0.7518117908601892,0.9969839656326176,2.2135920779037703e-05,0.005961830068157752,219
Pareto Front Solution 220,0.5804375845968519,0.9934104287540293,5.6492251241859715e-05,0.013023206193128222,220
Pareto Front Solution 221,0.7033959118844189,0.9961489555764642,2.9372739178137816e-05,0.00761206915802243,221
Pareto Front Solution 222,0.003034453334958068,0.1545289107560042,0.5278201293927176,0.8754001126560143,222
Pareto Front Solution 223,0.24672978834074397,0.9726385566796756,0.00043346265957311495,0.054010654181924085,223
Pareto Front Solution 224,0.08461035923907065,0.9083636350611446,0.003616777410315648,0.18001745532123384,224
Pareto Front Solution 225,0.35068027525076545,0.9832570935084873,0.00020267102134087996,0.033070901866932914,225
Pareto Front Solution 226,0.6593013121439357,0.9952829973097901,3.738679712600937e-05,0.009323315643780528,226
Pareto Front Solution 227,0.7353001940541818,0.9967114243738584,2.4445033154973196e-05,0.0065004723477890035,227
Pareto Front Solution 228,0.32968400879035376,0.9816396455181925,0.0002326488248386244,0.03626232085545497,228
Pareto Front Solution 229,0.6983253340330222,0.9960548803012547,3.021825704958739e-05,0.007797981880755784,229
Pareto Front Solution 230,0.37355867133101267,0.984816719410383,0.0001755147937090193,0.02999297885823653,230
Pareto Front Solution 231,0.4695374066581166,0.9897301250398364,0.00010114343357714821,0.020292651737946435,231
Pareto Front Solution 232,0.6247789222323623,0.994520752750975,4.487050830598042e-05,0.010829477896421132,232
Pareto Front Solution 233,0.06066116423325168,0.8730495392500124,0.006759134988273889,0.24852730994160968,233
Pareto Front Solution 234,0.02555626719030896,0.7297348463210372,0.031363540091970024,0.5175203186047573,234
Pareto Front Solution 235,0.22233092583255976,0.9687556895036322,0.0005380257497686468,0.061660381777641125,235
Pareto Front Solution 236,0.6860693123536646,0.9958218133866888,3.233934078361517e-05,0.008258563521572978,236
Pareto Front Solution 237,0.6885709499362305,0.9958700522970702,3.189724826512951e-05,0.00816323580788795,237
Pareto Front Solution 238,0.9857030023114952,0.9998714566089857,8.15767963495184e-07,0.00025413138905161,238
Pareto Front Solution 239,0.24417372527037853,0.9722670543538074,0.0004429967713637852,0.054742733953684966,239
Pareto Front Solution 240,0.41565621213551684,0.9872460789543708,0.00013662627068393562,0.02519749436858589,240
Pareto Front Solution 241,0.6080006595182643,0.9941194266882764,4.897250241059319e-05,0.011622430664012421,241
Pareto Front Solution 242,0.6422260117474324,0.9949161004237859,4.0938758365621e-05,0.01004830354827948,242
Pareto Front Solution 243,0.40615745614352183,0.9867411018984792,0.00014436837296860335,0.026194417476830562,243
Pareto Front Solution 244,0.019398195203121294,0.6665905663577697,0.04933776857632708,0.6287382857443703,244
Pareto Front Solution 245,0.13406314566423294,0.9435470833758661,0.001485631446344695,0.11121794121210829,245
Pareto Front Solution 246,0.9970308987205134,0.9999771726099705,1.4403957046319379e-07,4.513019203328145e-05,246
Pareto Front Solution 247,0.34821397527684145,0.9830769931946454,0.00020591749318363297,0.03342629259634862,247
Pareto Front Solution 248,0.10711192252126639,0.9281285164948763,0.002300807635206993,0.14142651614074708,248
Pareto Front Solution 249,0.6188565317979152,0.9943815471183426,4.628069557884947e-05,0.011104528733102916,249
Pareto Front Solution 250,0.20289453496517212,0.9650187952816514,0.0006489641509916769,0.06901863783515835,250
Pareto Front Solution 251,0.2302942834385108,0.9701104979769407,0.0005003055514901352,0.05899170249442499,251
