sigma,lse,nsga2,tikhonov
0.0,56.45562625538962,644.1371347528658,56.37321880127301,36.319376995107504
0.0001,58.65785956452932,640.9471847482453,56.394986691397165,33.63010667012583
0.001,233.5634534870491,649.2692688422146,56.73663276196819,35.86207819695066
0.001,93.87819606502678,645.0038273158649,56.690401084268935,37.68870802526206
0.1,5716.496544857366,641.5303059033471,179.7911679040689,160.0718537943052
1.0,11021.682321986444,644.9994848892654,784.9431084406253,778.6618544103592
