Solution Type,lambda,f1,f2,f3,Index in Pareto Front
Pareto Front Solution 82,2.213657096304156e-06,4.4469486236943095e-05,0.9351909774806438,0.5146700386633173,82
Pareto Front Solution 83,4.444850347805979e-08,3.521110847913542e-05,0.5485837158459267,0.5608007016261788,83
Pareto Front Solution 84,6.588024186611091e-08,0.0001921798509393626,0.06235463691879029,0.13792142709052344,84
Pareto Front Solution 85,4.5672131026124493e-10,2.314542394447353e-05,0.6210236352964413,0.785924542310246,85
Pareto Front Solution 86,3.0054000950388985e-08,0.00015663887584885098,0.10998603236459184,0.2223630836923921,86
Pareto Front Solution 87,0.005214353528775605,0.37953059505175796,0.0001386808846341897,0.004068696487146981,87
Pareto Front Solution 88,4.843979021634521e-08,3.898015107971981e-05,0.5167864596020589,0.5426587673273993,88
Pareto Front Solution 89,5.756911562866929e-08,6.356414080301621e-05,0.34488145558231226,0.40061587951020217,89
Pareto Front Solution 90,1.9743182973660712e-08,1.833519544418504e-05,0.7381602005557927,0.7910909741086748,90
Pareto Front Solution 91,6.480187414829286e-08,8.387159926114353e-05,0.25047605810240375,0.3176266971078251,91
Pareto Front Solution 92,3.851015497059454e-08,6.134051585447493e-05,0.35478836823105053,0.41196101484160724,92
Pareto Front Solution 93,3.697206567749812e-08,5.5866441942687934e-05,0.38759571967489637,0.4430661499501851,93
Pareto Front Solution 94,3.43151211540082e-10,1.4601827384057505e-05,0.6875069289526964,0.8274858199049032,94
Pareto Front Solution 95,9.377763814161231e-07,9.7438592718651e-05,0.5531747724027294,0.2221943771113018,95
Pareto Front Solution 96,8.85211575360095e-11,1.262655243851106e-06,0.911021790515668,0.9540436604821743,96
Pareto Front Solution 97,3.6694014619831184e-10,1.630526769985886e-05,0.6715038453069055,0.8176770217107034,97
Pareto Front Solution 98,0.008892486414116147,0.514333996424632,7.197261522973843e-05,0.003668042419850628,98
Pareto Front Solution 99,4.951776400759272e-10,2.6252254098186e-05,0.5945822702132153,0.768793001299352,99
Pareto Front Solution 100,7.738300906954276e-08,0.0001181591699200177,0.15169979108074705,0.22551650916486862,100
Pareto Front Solution 101,3.108299165255765e-08,4.5384695465373615e-05,0.46249702234098944,0.52378747010898,101
