sigma,lse,nsga2,l_curve
0.0,56.48737592010833,52.50818709188053,56.3717558085264
0.0001,57.141287813697765,52.04782717200902,56.378993615722685
0.001,113.39306160798098,53.52318074755118,57.218013458253616
0.01,1138.8325437651088,70.09813717364771,65.3790694249253
0.1,3172.3035844395463,99.56911355360185,165.97777108074015
1.0,10221.01871706823,280.39524197005903,914.3787108607036
