lambda,f1,f2,f3
165.18854533255617,1.0,0.0,0.0
99.72573267412787,1.0,0.0,0.0
0.0005105738682133279,0.0,1.0,0.952472925669078
1.1938481646731769e-07,1.5083864282000422e-07,0.9998812703605612,0.9999390371366212
1.1632885373507489e-07,0.00023710921124274663,0.8210920054026144,0.9116821549789494
4.698061176434683e-08,0.0007925323550132795,0.5203089200142257,0.6873474346827552
6.213737395728974e-08,0.0003507146094841202,0.7305995271780548,0.8633356894840701
2.2406236035038952e-08,0.00021981920136640766,0.8661179712502395,0.9257920468877253
3.858377235511977e-08,0.0005140668624619486,0.6621890564125649,0.7940560005972981
2.497964508219652e-08,0.0004338637281810636,0.7461427984725767,0.8536275433831078
7.975183094248504e-08,0.0005981778757418393,0.5856219832234515,0.7874154651346258
3.395454399212632e-08,0.001013241483362823,0.48014516255293427,0.6720183463233145
5.7261898566060936e-08,0.001035586295101002,0.4186667183768715,0.6189858612556999
4.790403613382409e-08,0.0008875695150655488,0.48281286526443995,0.6605218532199316
2.8372539105068006e-08,0.0007305619671193698,0.6026356105866592,0.7618508495066665
1.8878940806021018e-07,0.0005532634040523351,0.6588944527782735,0.820403187566785
1.1712867589757298e-07,0.0008105371674248861,0.49248332558995,0.7329852026972836
8.922292558395375e-08,0.0005214075258539011,0.6283946152536882,0.8236918109220424
1.6614868807920504e-08,0.0001957306570973798,0.8975384281602267,0.9458361903329177
2.889623470969047e-08,2.2479041308228034e-05,0.9830922770196073,0.9908230670124943
3.371718701928198e-07,0.00013693763103893853,0.9359262550098452,0.9616050102151839
2.3149616192301336e-08,0.0004754291664367228,0.7354850890012249,0.8484905473101102
1.9815686791849528e-08,0.0001703365157425783,0.9006558484302041,0.9463620306125174
1.7696196265581318e-07,0.001255591018489865,0.34877605271972967,0.6195628898080995
1.4794610172187858e-08,8.217363688543378e-05,0.958142632022586,0.9784180089947166
5.66405061570363e-08,0.0010926245120350842,0.401860998783058,0.6045861800076663
4.855993109060748e-08,0.0008355036628239908,0.5008684290929878,0.6738707530974349
2.561678399815002e-08,0.0007106316074158068,0.6246055954145077,0.7770097124335179
1.158545621470815e-07,0.0008017007916863454,0.4959545473358361,0.7355983691615966
5.7866808246733143e-08,0.0010476025448247343,0.41415642281390785,0.6162629512896903
8.114151349668263e-08,5.88591070923963e-05,0.9494431491920685,0.9788360137599106
1.9378797475801185e-07,0.0006747343207797652,0.5960754897097227,0.7842524485250703
2.2803375619176194e-07,0.0038468264719839413,0.05852798520823496,0.2345802981677494
2.438222804125848e-07,0.0040609560494204045,0.052242145969551644,0.221464228753523
1.805795589803309e-08,0.00010227718884535786,0.9418004580158605,0.9692340907757552
0.00012692400013110486,0.0490284592072,5.375136696619776e-05,0.001817029511673417
1.931770965157744e-07,0.0037213556596158285,0.06316624177047964,0.24401003155569034
2.488429679239845e-07,0.005242332670062484,0.030328468454828998,0.16844912148402502
6.198083412030644e-08,0.0011241559942600273,0.3865255036470453,0.5989674905381898
0.000357348427895702,0.06679011372026976,8.451901053455067e-05,0.0017875728411915726
6.246070119778931e-08,0.0011325450837575864,0.3836123446375882,0.5970781017074839
7.506330604941533e-08,0.001321365139539734,0.3238484388103616,0.5557248671276728
3.86005692126961e-08,0.0005843669819226503,0.6281009833211417,0.7717781024509538
5.9154099012769515e-08,0.0011653452040160661,0.3777544118475153,0.5882291841878771
6.707115436765744e-08,0.0013009907407527453,0.3342843122950156,0.5588310187818508
2.1278357058288777e-07,0.0031710049153471963,0.08570956704046048,0.28530865896405966
2.5995351739633857e-07,0.005535038259941667,0.026793562027582946,0.1582914380249262
2.0192446388896535e-07,0.0032782690880162795,0.0805119934797616,0.2763491532740383
1.1463593743808363e-07,0.0023973586262571282,0.14423632054737498,0.37027588643928405
1.4494186525512426e-08,1.580598701415118e-05,0.9918600437937145,0.9958418200913445
7.16054720009486e-08,0.0020130784327809133,0.20201312805351848,0.429009549055684
2.1360236594155715e-07,0.0029143173471743626,0.1004600989585592,0.310273546543476
2.2479924174811104e-07,0.003120663519606642,0.08841768984010312,0.2903928713201531
7.313428879424208e-08,0.0013654063571168918,0.31441880100838693,0.5452541177629311
1.8022198926019473e-07,0.003045898248272594,0.09274217425129,0.2976609383696882
3.6063882318670205e-07,0.005806117619884876,0.023459671944907005,0.14644133773598283
7.219436868534017e-08,0.001133333480105475,0.3760902648341112,0.5999845222646437
4.1930664966982633e-07,0.005945383500351002,0.022112669021631223,0.1408212281678457
2.1008116462694697e-07,0.0037845613631557378,0.06073358817179779,0.2388366602366896
1.2935368490536906e-07,0.0027928006927824796,0.1110757317242754,0.32420186539841955
7.601908121152087e-08,0.001403229130232821,0.304015091024001,0.5379322234800538
1.4480644322423328e-07,0.0028802360635558724,0.10404535391173121,0.3148373116753055
6.572265382090359e-08,0.001186922371015753,0.36527061478752254,0.584863426313291
3.586421765583981e-07,0.003591729838336153,0.06888583042753375,0.25305574787712637
3.2312594476525627e-07,0.00012811122285937075,0.9385821600888555,0.9639981410748566
2.0844923937658718e-07,0.0033022689610551366,0.07933232311490694,0.27411222788042
3.1770616851692565e-07,0.004226664169509275,0.047929361201908285,0.21092156766724918
2.808543672778935e-07,0.005063063276321934,0.03238291192079229,0.17372589718828896
1.3520886407923102e-07,0.0025676618947153202,0.1270476637593704,0.34880648366989747
2.004551286027319e-07,0.0033850878251087645,0.07573379930272316,0.2677429962347873
