sigma,lse,nsga2,tikhonov
0.0,56.5311227566401,167.28048982432955,624.902535715037
0.0001,56.907931287055774,188.72534427051906,624.9183110411905
0.001,64.62981115962711,158.072166907372,624.8621706407871
0.001,323.13467713843295,190.893152019064,624.592840373746
0.1,6965.050051030502,232.35391882083186,663.1427192708427
1.0,11583.195224574025,554.8599431533416,895.8793801422811
