Solution Type,lambda,f1,f2,f3,Index in Pareto Front
L-Curve Solution,1.1898791345562386e-05,0.0003294462130618649,0.00686775005453467,2.157825713644768e-05,N/A
Best Solution,5.083178476138381e-06,0.0002220426403308696,0.007343081914533739,0.0006498286645460164,55
Pareto Front Solution 0,7.603528059417018e-08,0.0001106944280892912,0.010735084639693861,0.013304316580629014,0
Pareto Front Solution 1,0.001351673022977196,0.13660194002159,0.002142043236238955,0.0029695642484459813,1
Pareto Front Solution 2,0.0006905127761572614,0.06148833458821792,0.003217743397076292,0.0025831486846517437,2
Pareto Front Solution 3,0.002674024152578681,0.25965107575665103,0.0012329802595868464,0.005590885012568778,3
Pareto Front Solution 4,0.08815132906361142,0.9902549456642775,1.4655511943106385e-06,0.0005508473818650113,4
Pareto Front Solution 5,0.015471164873547653,0.7109594657759903,0.0001394809549408777,0.0048787758687420905,5
Pareto Front Solution 6,0.000605836210847373,0.051650813877075125,0.003435888682420716,0.0023897918771062384,6
Pareto Front Solution 7,6.102685128364483e-08,0.00010949042607957719,0.01093432966896699,0.015485439239469207,7
Pareto Front Solution 8,0.010829547317561704,0.6192749915566562,0.00023990899011860662,0.006004439915540035,8
Pareto Front Solution 9,6.010510091705396e-08,7.96306400068965e-05,0.03613867994737808,0.029859003491722422,9
Pareto Front Solution 10,0.000763203819723499,0.0699946741592162,0.003056895496917851,0.0026596564170688376,10
Pareto Front Solution 11,0.0011587676345526968,0.11546207945688451,0.0023798126630935777,0.002939186527701964,11
Pareto Front Solution 12,0.000794406898130589,0.07363477718038547,0.002987228473544958,0.002729535322719655,12
Pareto Front Solution 13,0.003994656983841622,0.3527737014590389,0.0008309814817013577,0.0066980307387332185,13
Pareto Front Solution 14,0.09977387893973025,1.0,0.0,0.0003346054925757423,14
Pareto Front Solution 15,0.000891932939804411,0.08499333190587446,0.0028078397299717427,0.0028170900753305477,15
Pareto Front Solution 16,0.0014933533316965493,0.15156762564489693,0.00199374390608123,0.003004555051946653,16
Pareto Front Solution 17,0.03340227698175242,0.8713877757664958,3.538424151534296e-05,0.002495694917338299,17
Pareto Front Solution 18,3.8606356035188395e-06,0.00020000042794784476,0.0076066563235877935,0.001048727151128083,18
Pareto Front Solution 19,1.8894190017968244e-08,9.637690793966475e-05,0.019443033853098993,0.056187879680863174,19
Pareto Front Solution 20,0.044409109423787854,0.9155969705004343,1.9381835915290257e-05,0.0017987380739996712,20
Pareto Front Solution 21,0.03823037772533549,0.893246199567891,2.6752149458864068e-05,0.0021453184308626665,21
Pareto Front Solution 22,1.0882105200593563e-08,8.783943124129977e-05,0.025372201208514307,0.10128487578437316,22
Pareto Front Solution 23,0.019930587926534227,0.7702203087237158,9.178238796335675e-05,0.004043159553440255,23
Pareto Front Solution 24,0.061789743752930074,0.9563799157384442,8.700828463110449e-06,0.0011577003197110285,24
Pareto Front Solution 25,0.0005541720749343009,0.04570350624228022,0.003580686044845694,0.0023024794339715844,25
Pareto Front Solution 26,0.016428673006557457,0.7256053008292103,0.00012677156723565647,0.0046502795616845905,26
Pareto Front Solution 27,0.001574051365864683,0.1599272961620515,0.0019169128988910126,0.002961547687596997,27
